Location,No. of Cases,Date,Coordinates,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
"Seraya Lane, Singapore",3,22-01-18,"1.3067327, 103.8995011",Tanjong Katong ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Seraya Road, Singapore",1,22-01-18,"1.3058160, 103.9003082",Tanjong Katong ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Jalan Leban, Singapore",4,22-01-18,"1.3732041, 103.8307393",Upper Thomson ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Jalan Tarum, Singapore",1,22-01-18,"1.3738957, 103.8315861",Upper Thomson ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Toh Tuck Road (The Beverly), Singapore",4,22-01-18,"1.3393409, 103.7673540",Clementi ,0.4,0.4,0.4,0.4,28,32.8,25,5.8,28.4
"Bishan Street 13 (Blk 171), Singapore",2,22-01-18,"1.3468013, 103.8536456",Toa Payoh ,0,0,0,0,—,—,—,—,—
"Bishan Street 13 (Blk 172), Singapore",1,22-01-18,"1.3473887, 103.8533738",Toa Payoh ,0,0,0,0,—,—,—,—,—
"Bukit Batok Street 21 (Blk 208), Singapore",1,22-01-18,"1.3458934, 103.7488545",Jurong (North) ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Canberra Crescent, Singapore",1,22-01-18,"1.4451794, 103.8308611",Yishun ,0,0,0,0,—,—,—,—,—
"Canberra Walk (Blk 115C), Singapore",1,22-01-18,"1.4460315, 103.8287811",Yishun ,0,0,0,0,—,—,—,—,—
"Woodlands Avenue 6 (Blk 627), Singapore",1,22-01-18,"1.4336154, 103.8010235",Admiralty ,0,0,0,0,27.7,31.9,25.1,8.3,35.6
"Woodlands Ring Road (Blk 628B), Singapore",1,22-01-18,"1.4341688, 103.8005255",Admiralty ,0,0,0,0,27.7,31.9,25.1,8.3,35.6
"Yishun Avenue 7, Singapore",2,26-01-18,"1.4386374, 103.8334056",Yishun ,1.5,1,1,1,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",6,26-01-18,"1.4368965, 103.8317924",Yishun ,1.5,1,1,1,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",10,26-01-18,"1.4370075, 103.8309346",Yishun ,1.5,1,1,1,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",3,26-01-18,"1.4374434, 103.8318144",Yishun ,1.5,1,1,1,—,—,—,—,—
"Yishun Ring Road (Blk 120), Singapore",1,26-01-18,"1.4348902, 103.8293925",Yishun ,1.5,1,1,1,—,—,—,—,—
"Yishun Ring Road (Blk 165), Singapore",1,26-01-18,"1.4357604, 103.8316812",Yishun ,1.5,1,1,1,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",12,26-01-18,"1.4363075, 103.8316116",Yishun ,1.5,1,1,1,—,—,—,—,—
"Yishun Street 11 (Blk 122), Singapore",1,26-01-18,"1.4349397, 103.8309110",Yishun ,1.5,1,1,1,—,—,—,—,—
"Yishun Street 11 (Blk 128), Singapore",10,26-01-18,"1.4339140, 103.8311350",Yishun ,1.5,1,1,1,—,—,—,—,—
"Yishun Street 11 (Blk 131), Singapore",1,26-01-18,"1.4332140, 103.8312190",Yishun ,1.5,1,1,1,—,—,—,—,—
"Yishun Street 11 (Blk 132), Singapore",1,26-01-18,"1.4328560, 103.8312980",Yishun ,1.5,1,1,1,—,—,—,—,—
"Jalan Gajus, Singapore",1,26-01-18,"1.3043170, 103.8999760",Marine Parade ,8.2,4.6,6,7.4,—,—,—,—,—
